Date,Close,ma5,ma20,ma60
2018-07-09,221.5,216.7,221.05,226.225
2018-07-10,222.0,218.2,220.85,225.85
2018-07-11,220.0,219.0,220.4,225.45833333333334
2018-07-12,220.5,220.2,219.825,225.16666666666666
2018-07-13,224.5,221.7,219.725,224.94166666666666
2018-07-16,223.5,222.1,219.35,224.59166666666667
2018-07-17,221.5,222.0,219.175,224.46666666666667
2018-07-18,223.0,222.6,219.025,224.40833333333333
2018-07-19,224.5,223.4,218.925,224.36666666666667
2018-07-20,237.5,226.0,219.425,224.575
2018-07-23,241.0,229.5,220.575,224.89166666666668
2018-07-24,241.0,233.4,221.9,225.18333333333334
2018-07-25,240.5,236.9,223.275,225.40833333333333
2018-07-26,241.0,240.2,224.725,225.70833333333334
2018-07-27,244.5,241.6,226.125,226.10833333333332
2018-07-30,245.5,242.5,227.7,226.48333333333332
2018-07-31,246.0,243.5,229.275,226.85833333333332
2018-08-01,248.0,245.0,230.875,227.19166666666666
2018-08-02,244.5,245.7,232.375,227.44166666666666
2018-08-03,247.0,246.2,233.875,227.73333333333332
2018-08-06,245.5,246.2,235.075,227.94166666666666
2018-08-07,241.5,245.3,236.05,228.08333333333334
2018-08-08,247.5,245.2,237.425,228.36666666666667
2018-08-09,247.0,245.7,238.75,228.64166666666668
2018-08-10,245.0,245.3,239.775,228.95
2018-08-13,240.5,244.3,240.625,229.23333333333332
2018-08-14,243.5,244.7,241.725,229.475
2018-08-15,241.5,243.5,242.65,229.68333333333334
2018-08-16,239.0,241.9,243.375,229.85833333333332
2018-08-17,239.5,240.8,243.475,230.03333333333333
2018-08-20,239.5,240.6,243.4,230.21666666666667
2018-08-21,241.0,240.1,243.4,230.45
2018-08-22,242.0,240.2,243.475,230.73333333333332
2018-08-23,244.5,241.3,243.65,231.125
2018-08-24,243.5,242.1,243.6,231.45
2018-08-27,245.0,243.2,243.575,231.8
2018-08-28,249.5,244.9,243.75,232.14166666666668
2018-08-29,259.0,248.3,244.3,232.64166666666668
2018-08-30,263.5,252.1,245.25,233.2
2018-08-31,256.0,254.6,245.7,233.63333333333333
2018-09-03,257.0,257.0,246.275,234.13333333333333
2018-09-04,257.5,258.6,247.075,234.65833333333333
2018-09-05,264.0,259.6,247.9,235.24166666666667
2018-09-06,261.0,259.1,248.6,235.725
2018-09-07,264.0,260.7,249.55,236.35
2018-09-10,264.5,262.2,250.75,236.90833333333333
2018-09-11,260.0,262.7,251.575,237.49166666666667
2018-09-12,260.5,262.0,252.525,238.06666666666666
2018-09-13,255.0,260.8,253.325,238.54166666666666
2018-09-14,261.0,260.2,254.4,239.1
2018-09-17,258.0,258.9,255.325,239.76666666666668
2018-09-18,254.5,257.8,256.0,240.43333333333334
2018-09-19,258.0,257.3,256.8,241.18333333333334
2018-09-20,260.0,258.3,257.575,241.98333333333332
2018-09-21,261.5,258.4,258.475,242.73333333333332
2018-09-25,263.5,259.5,259.4,243.55833333333334
2018-09-26,263.5,261.3,260.1,244.375
2018-09-27,265.0,262.7,260.4,245.19166666666666
2018-09-28,262.5,263.2,260.35,245.99166666666667
2018-10-01,263.0,263.5,260.7,246.75833333333333
2018-10-02,257.5,262.3,260.725,247.35833333333332
2018-10-03,260.0,261.6,260.85,247.99166666666667
2018-10-04,254.0,259.4,260.35,248.55833333333334
2018-10-05,250.0,256.9,259.8,249.05
2018-10-08,243.5,253.0,258.775,249.36666666666667
2018-10-09,244.0,250.3,257.75,249.70833333333334
2018-10-11,227.5,243.8,256.125,249.80833333333334
2018-10-12,237.0,240.4,254.95,250.04166666666666
2018-10-15,230.5,236.5,253.725,250.14166666666668
2018-10-16,237.0,235.2,252.525,250.13333333333333
2018-10-17,238.5,234.1,251.55,250.09166666666667
2018-10-18,236.5,235.9,250.65,250.01666666666668
2018-10-19,236.0,235.7,249.55,249.94166666666666
2018-10-22,237.0,237.0,248.4,249.875
2018-10-23,230.0,235.6,246.825,249.63333333333333
2018-10-24,229.5,233.8,245.125,249.36666666666667
2018-10-25,219.5,230.4,242.925,248.925
2018-10-26,221.0,227.4,240.725,248.475
2018-10-29,222.5,224.5,238.725,248.10833333333332
